,restaurant,cuisine,price,rating,total review count
125,Minnow,"Seafood, American",$$ - $$$,4.5,54
126,Iggies,"Pizza, Italian",$$ - $$$,4.5,115
127,BoogsBarbeque,"American, Fast Food",$$ - $$$,4.0,121
128,VinnysItalianCafe,Italian,$$ - $$$,4.5,85
129,UnionCraftBrewing,$,79reviews,4.5,56
130,DanielasPastaandPastries,Italian,$$ - $$$,4.5,79
131,NachoMamas,"Mexican, Southwestern",$$ - $$$,4.0,206
132,MusselBarGrille,"American, Bar",$$ - $$$,4.5,84
133,VillageSquareCafe,"American, Cafe",$$ - $$$,4.5,90
134,PapisTacos,"Mexican, Southwestern",$,4.0,107
135,LunaDelSeaSteakSeafoodBistro,"American, Bar",$$ - $$$,3.5,484
136,FornoRestaurantWineBar,"Italian, American",$$ - $$$,4.0,134
137,VillagioCafe,"Middle Eastern, Persian",$$ - $$$,4.5,70
138,AldosRestaurant,Italian,$$$$,4.0,272
139,TambersNiftyFifties,"Indian, Diner",$$ - $$$,4.0,85
140,TheAbbeyBurgerBistroFellsPoint,"American, Bar",$$ - $$$,4.5,75
141,AmbassadorDiningRoom,Indian,$$ - $$$,4.0,169
142,TheHorseYouCameInOnSaloon,"Mexican, American",$$ - $$$,4.5,80
143,DoubleTTDiner,"American, Diner",$$ - $$$,4.0,198
144,DellisBarGrill,"American, Bar",$$ - $$$,4.5,66
145,LaCalle,"Mexican, Latin",$$ - $$$,5.0,28
146,Indigma,Indian,$$ - $$$,4.0,108
147,Bottega,"Italian, Contemporary",$$ - $$$,4.5,74
148,MortonsTheSteakhouse,"American, Steakhouse",$$$$,4.0,226
149,NalleyFresh,American,$,4.5,49
150,RickDempseysBrewPubRestaurant,"American, Bar",$$ - $$$,4.0,251
151,SupanosSteakhouse,Italian,$$ - $$$,3.5,380
152,TeavolveCafeLounge,"American, Cafe",$$ - $$$,4.0,148
153,TheRowhouseGrille,"American, Bar",$$ - $$$,4.5,67
154,BondStreetSocial,"American, Bar",$$ - $$$,4.0,141
155,Barcocina,"Mexican, Southwestern",$$ - $$$,3.5,227
156,DarbarCuisineofIndia,Indian,$$ - $$$,4.5,48
157,Gnocco,"Spanish, Mediterranean",$$ - $$$,4.5,39
158,ObryckisABar,"American, Bar",$$ - $$$,4.0,58
159,MichaelsSteakLobsterHSE,"American, Steakhouse",$$ - $$$,4.0,69
160,LeBistroduVillageFkaCrepeduJour,"French, European",$$ - $$$,4.0,99
161,Bistro,"American, Bar",$$ - $$$,4.0,154
162,RedStarFellsPoint,"American, Bar",$$ - $$$,4.0,116
163,MosSeafood,"American, Seafood",$$ - $$$,3.5,347
164,MothersFederalHillGrille,"American, Bar",$$ - $$$,4.0,108
165,AleMarys,"American, Bar",$$ - $$$,4.0,102
166,TacoFiestaLLC,"Mexican, Southwestern",$,4.0,106
167,WaterfrontHotel,"American, Bar",$$ - $$$,4.0,99
168,OwlBar,"American, Bar",$$ - $$$,4.0,157
169,TheYard,"American, Bar",$$ - $$$,4.0,115
170,BookmakersCocktailClub,"American, Bar",$$ - $$$,4.5,55
171,BrendaliItalianRistorante,Italian,$$ - $$$,4.5,73
172,DoobysCoffee,"Cafe, American",$$ - $$$,4.0,76
173,ZorbasBarGrill,"Mediterranean, Greek",$$ - $$$,4.5,61
174,LiquidEarth,American,$$ - $$$,4.5,70
175,Mezze,"Mediterranean, Greek",$$ - $$$,4.0,163
176,CladdaghPub,"American, Irish",$$ - $$$,4.0,97
177,LaBarrita,"Argentinean, Latin",$$ - $$$,5.0,20
178,MyThai,"Asian, Thai",$$ - $$$,4.5,66
179,Encantada,"American, Contemporary",$$ - $$$,4.0,76
